"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"User Profile","User Data Retrieval","Unauthorized user data retrieval","0","0","1","0","0"
"","User Profile Editing","Unauthorized user profile editing attempt","0","0","1","0","0"
"","User Profile Editing","Edit user with too short firstName","0","0","1","0","0"
"User Registration","User Signup Process","User registration missing a field","0","0","5","0","0"
"Authorization","User Authentication","Authentication with missing credentials","0","0","2","0","0"
"User Registration","User Signup Process","Successful user registration","0","0","1","0","0"
"User Registration","User Signup Process","User registration with too long username","0","0","2","0","0"
"User Registration","User Signup Process","User registration with invalid email","0","0","1","0","0"
"Authorization","User Authentication","Successful authentication","0","0","1","0","0"
"","User Profile Editing","Check server response when editing another user's profile","0","0","1","0","0"
"User Registration","User Signup Process","User registration with existing email","0","0","1","0","0"
"User Profile","User Data Retrieval","Authorized user data retrieval","0","0","1","0","0"
"User Management","User Deletion","Attempt to delete a user by another user","0","0","1","0","0"
"User Profile","User Profile Editing","Edit profile after creating a new user","0","0","1","0","0"
"User Management","User Deletion","Successful user deletion","0","0","1","0","0"
"User Management","User Deletion","Attempt to delete a protected user","0","0","1","0","0"
"User Profile","User Data Retrieval","Get Another User Details","0","0","1","0","0"
"","User Profile Editing","Edit another user's profile","1","0","0","0","0"
"","User Profile Editing","Edit user email with invalid format","0","0","1","0","0"
